Datang Tuoketuo Coal Power Station China ,6600,China,Nei Mongol,38500000,0.8,30800000
Taichung Coal Power Station Taiwan ,5230,Republic of China Taiwan,Taiwan,30508333.33,0.8,24406666.67
Guohua Taishan Coal Power Plant China ,5000,China,Guangdong,29166666.67,0.8,23333333.33
Shanghai Waigaoqiao Coal Power Station China ,5000,China,Shanghai,29166666.67,0.8,23333333.33
Guodian Beilun Coal Power Plant China ,5000,China,Zhejiang,29166666.67,0.8,23333333.33
Zhejiang Jiaxing Coal Power Plant China ,5000,China,Zhejiang,29166666.67,0.8,23333333.33
Majuba Coal Power Station South Africa ,4110,South Africa,Mpumalanga,23975000,0.95,22776250
Castle Peak Power Station (CPPS) Hong Kong ,4108,Hong Kong,Tuen Mun,23963333.33,0.95,22765166.67
Hekinan Coal Power Plant Japan ,4100,Japan,Aichi,23916666.67,0.95,22720833.33
Suralaya Coal Power Plant Indonesia ,4025,Indonesia,Banten,23479166.67,0.95,22305208.33
Tata Mundra Coal Ultra Mega Power Plant India ,4000,India,Gujarat,23333333.33,0.95,22166666.67
Ekibastuz GRES-1 Coal Power Plant Kazakhstan ,4000,Kazakhstan,Pavlodar,23333333.33,0.95,22166666.67
Dangjin (Tangjin) Coal Power Plant South Korea ,4000,Republic of Korea,Chungcheongnam-do,23333333.33,0.95,22166666.67
Poryong (Boryeong) Coal Power Plant South Korea ,4000,Republic of Korea,Chungcheongnam-do,23333333.33,0.95,22166666.67
Taean Coal Power Plant South Korea ,4000,Republic of Korea,Chungcheongnam-do,23333333.33,0.95,22166666.67
Hadong Coal Power Plant South Korea ,4000,Republic of Korea,Gyeongsangnam-do,23333333.33,0.95,22166666.67
Matimba Coal Power Station South Africa ,3990,South Africa,Limpopo,23275000,0.95,22111250
W A Parish Coal Plant TX USA ,3969,United States of America,Texas,23152500,0.95,21994875
Sasan Ultra Mega Coal Power Plant India ,3960,India,Madhya Pradesh,23100000,0.95,21945000
Drax Coal Power Station ,3960,United Kingdom,North Yorkshire,23100000,0.95,21945000
Adani Mundra Ultramega Coal Power Plant India ,4620,India,Gujarat,26950000,0.8,21560000
CHD Shandong Zouxian Coal Power Plant China ,4540,China,Shandong,26483333.33,0.8,21186666.67
Reftinskaya GRES Coal CHP Power Plant Russia ,3800,Russian Federation,Sverdlovsk,22166666.67,0.95,21058333.33
Belchatow Coal Power Plant Poland ,4440,Poland,lodzkie,25900000,0.8,20720000
